True_Label,LogisticRegression_conf,LogisticRegression_pred,RidgeClassifier_conf,RidgeClassifier_pred,LinearDiscriminantAnalysis_conf,LinearDiscriminantAnalysis_pred,ShrinkageLDA_conf,ShrinkageLDA_pred,QuadraticDiscriminantAnalysis_conf,QuadraticDiscriminantAnalysis_pred,RegularizedQDA_conf,RegularizedQDA_pred,LinearSVC_conf,LinearSVC_pred,SVC_rbf_conf,SVC_rbf_pred,HingeSGDClassifier_conf,HingeSGDClassifier_pred,LogLossSGDClassifier_conf,LogLossSGDClassifier_pred,PolynomialSGDClassifier_conf,PolynomialSGDClassifier_pred,GaussianNB_conf,GaussianNB_pred,DecisionTreeClassifier_conf,DecisionTreeClassifier_pred,FullDecisionTreeClassifier_conf,FullDecisionTreeClassifier_pred,RandomForestClassifier_conf,RandomForestClassifier_pred,KNeighborsClassifier_conf,KNeighborsClassifier_pred,BaggingClassifier_conf,BaggingClassifier_pred,AdaBoostClassifier_conf,AdaBoostClassifier_pred
Dropout,0.3415088337145581,0,0.29744048832052217,0,0.14763308531648733,0,0.31981666463875824,0,0.9990812584150804,1,0.16703726329437607,0,0.3341956852932212,0,0.46973259338077195,0,0.30353465200765367,0,0.0013166351240184726,0,0.4841786477133355,0,0.9933307976393893,1,0.2290668154093673,0,0.2817144882094166,0,0.48,0,0.49292714331820164,0,0.16097812529357836,0,0.37415653154667294,0
Graduate,0.061429384015116884,0,0.06959714850539897,0,0.013214770815013654,0,0.04388263127473557,0,1.6203501167882213e-07,0,0.0019460684409711264,0,0.10505665369131825,0,0.059526016545052976,0,0.17132776938936523,0,0.0016263585514074697,0,0.21803280708279962,0,0.13897114864276808,0,0.2290668154093673,0,0.19647237263991799,0,0.18,0,0.09899050473462292,0,0.16492486251509142,0,0.11981838898909938,0
Graduate,0.02407219156137297,0,0.0523842369467374,0,0.009148770309945875,0,0.05296571376038639,0,1.1872396905456764e-06,0,0.001057023864545833,0,0.06489611715411378,0,0.07830541533851523,0,0.08322072781838923,0,2.6873275271732666e-07,0,0.4028039894513551,0,0.008922444555111817,0,0.2290668154093673,0,0.49376223202195535,0,0.29,0,0.1279607804808907,0,0.13400849862433373,0,0.12093710694969606,0
Graduate,0.07022717835950032,0,0.08139909459077525,0,0.01924807437041609,0,0.057954154453414564,0,0.0013344570323046345,0,0.010096966920560094,0,0.1110198631498637,0,0.07100940075173189,0,0.21212097129293334,0,0.00032894112582038115,0,0.3171196176593912,0,0.01341314144459408,0,0.2290668154093673,0,0.19647237263991799,0,0.15,0,0.20142262289632873,0,0.10405632600050756,0,0.15131164531262417,0
Graduate,0.017771565256318955,0,0.03274941335399264,0,0.0046165105574643706,0,0.027051774709385135,0,2.5254635114040256e-07,0,0.0002150672506543181,0,0.05505200671727965,0,0.03036578149790388,0,0.07797477096094192,0,3.668514736432371e-08,0,0.32226982896843237,0,0.0023664682828242823,0,0.2290668154093673,0,0.2817144882094166,0,0.09,0,0.374249637061667,0,0.1043435601875454,0,0.1705343365602559,0
Dropout,0.9999783091949775,1,0.9981970354292395,1,0.9999085153679694,1,0.9962417585537878,1,1.0,1,0.9999998944909798,1,0.9990628973653017,1,0.9912957278971952,1,0.9968897139241447,1,1.0,1,0.6670492580426961,1,0.9999526207103283,1,0.826325215420226,1,0.6966880450003393,1,0.95,1,0.9433626377200515,1,0.912346812354822,1,0.9971028687923725,1
Graduate,0.045788199481524794,0,0.06382398886985678,0,0.013784782641634186,0,0.0807995508979702,0,0.10853691349433689,0,0.013302996325298723,0,0.08307052465530496,0,0.07945391449084033,0,0.10961384088514758,0,0.0007211892868562719,0,0.25031956960146207,0,0.15780989704723936,0,0.2290668154093673,0,0.39161748026753257,0,0.33,0,0.1279607804808907,0,0.16049458405904088,0,0.2712841679571346,0
Graduate,0.006413526974110018,0,0.05767773392713553,0,0.00983826306211244,0,0.035172055819639,0,0.0036849285141224825,0,2.8328497802313854e-07,0,0.028566787729399558,0,0.14541720241227363,0,0.049773805517938974,0,1.8785160649237298e-08,0,0.09355983095375671,0,0.13251158148092979,0,0.2290668154093673,0,0.30637536469803395,0,0.4,0,0.28143163155137746,0,0.32758943974067656,0,0.0180161523866315,0
Graduate,0.06290229627044275,0,0.10975314616315283,0,0.0315464338628515,0,0.07780294969906043,0,0.0006326515399507924,0,0.008824516541397598,0,0.10799270690510902,0,0.0459180905998172,0,0.13850492918986695,0,0.004089360812699061,0,0.2812562338547096,0,0.00420598893108386,0,0.2290668154093673,0,0.19647237263991799,0,0.02,0,0.09899050473462292,0,0.073814740295057,0,0.0986740907640726,0
Graduate,0.004995260992244566,0,0.03738447695902249,0,0.004010380615329323,0,0.04436592080758939,0,9.110984939393768e-05,0,3.044693323909256e-05,0,0.02616777033053217,0,0.4340614671416877,0,0.07334301077650462,0,7.11316339163659e-10,0,0.1016650795238608,0,0.9991773632451407,1,0.2290668154093673,0,0.19647237263991799,0,0.37,0,0.19967379253350334,0,0.21008994938112685,0,0.05340316478209508,0
Graduate,0.43734269866690845,0,0.3689575558754131,0,0.22500610186519465,0,0.191093839317237,0,0.9984160079005109,1,0.66301167305369,1,0.3606212506941258,0,0.38569070096705044,0,0.3994382773548614,0,0.46816768942061604,0,0.430047224855138,0,0.8849552915663381,1,0.2290668154093673,0,0.37473730912968467,0,0.27,0,0.7626837359987149,1,0.3175700936091735,0,0.2802689499122194,0
