Combined Models,Individual Model 1,Individual Model 2,Combined Accuracy,Best Individual Accuracy,Difference,Std Dev (Combined)
LogisticRegression + RidgeClassifier,LogisticRegression,RidgeClassifier,0.9421943843841796,0.9412876266559668,0.0009067577282128036,0.0045602669147770565
LogisticRegression + LinearDiscriminantAnalysis,LogisticRegression,LinearDiscriminantAnalysis,0.9416495059372136,0.9412876266559668,0.0003618792812468685,0.004873362990058096
LogisticRegression + ShrinkageLDA,LogisticRegression,ShrinkageLDA,0.9418279302876359,0.9412876266559668,0.0005403036316691257,0.004690329745829346
LogisticRegression + QuadraticDiscriminantAnalysis,LogisticRegression,QuadraticDiscriminantAnalysis,0.9416826879643407,0.9412876266559668,0.00039506130837396736,0.005080139035623217
LogisticRegression + RegularizedQDA,LogisticRegression,RegularizedQDA,0.9413752803903617,0.9412876266559668,8.76537343948991e-05,0.005239632131802589
LogisticRegression + LinearSVC,LogisticRegression,LinearSVC,0.9414468859905256,0.9416045440940944,-0.00015765810356882515,0.005642752378267176
LogisticRegression + SVC_rbf,LogisticRegression,SVC_rbf,0.9465034891948074,0.9453291087902471,0.0011743804045603046,0.0031921153241598315
LogisticRegression + HingeSGDClassifier,LogisticRegression,HingeSGDClassifier,0.9402950253996158,0.9412876266559668,-0.0009926012563509223,0.006939111301964834
LogisticRegression + LogLossSGDClassifier,LogisticRegression,LogLossSGDClassifier,0.9408436098394424,0.9412876266559668,-0.0004440168165243952,0.005026383336130175
LogisticRegression + PolynomialSGDClassifier,LogisticRegression,PolynomialSGDClassifier,0.9415251413142475,0.9412876266559668,0.00023751465828070195,0.004821224389921703
LogisticRegression + GaussianNB,LogisticRegression,GaussianNB,0.941891316777102,0.9412876266559668,0.0006036901211352586,0.0050638832378401485
LogisticRegression + DecisionTreeClassifier,LogisticRegression,DecisionTreeClassifier,0.9415666260421791,0.9412876266559668,0.0002789993862123419,0.005534433071302232
LogisticRegression + FullDecisionTreeClassifier,LogisticRegression,FullDecisionTreeClassifier,0.9425175196636472,0.9412876266559668,0.0012298930076803938,0.006326242414554133
LogisticRegression + RandomForestClassifier,LogisticRegression,RandomForestClassifier,0.9439445491754703,0.9412876266559668,0.0026569225195035573,0.002327898850192258
LogisticRegression + KNeighborsClassifier,LogisticRegression,KNeighborsClassifier,0.9435410975957039,0.9412876266559668,0.0022534709397371566,0.0025606077278438845
